id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1265582176931889153,Wed May 27 09:54:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Head on coalition at Kangundo road
Guys injured.. Avoid route  https://t.co/gFTyvy55Ia via @Enokoh #KenyanTraffic",Head coalition Kangundo road Guys injured .. Avoid route via,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,KenyanTraffic,False,KenyanTraffic,Enokoh,Nairobi,
1265580541014925315,Wed May 27 09:48:08 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Ma3Route: 16:00 Seems Nairobi Metropolitan unit is doing complete overhaul of CBD roads. Riveroad looks great now.  https://t.co/ngwlPm…,:00 Seems Nairobi Metropolitan unit complete overhaul CBD roads Riveroad looks great,"Sentiment(polarity=0.45, subjectivity=0.575)",0.45,0.575,en,0,15,nbonventure,,,Ma3Route,Nairobi,
1265576235381460992,Wed May 27 09:31:02 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Ma3Route: 22:57 if you've ever been terorised along Waiyaki way.... This is the face..... 40days came early.  https://t.co/XQ8AiUMWoL v…,:57 've ever terorised along Waiyaki way .... This face ..... days came early v…,"Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3,en,0,198,ThisIsVoight,False,,Ma3Route,Nairobi,
1265575733403037696,Wed May 27 09:29:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Ma3Route @itscleotrevor Damn,Damn,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,SirMagomere,,,"Ma3Route, itscleotrevor",Nairobi,
1265569461735755777,Wed May 27 09:04:07 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Ma3Route @NPSOfficial_KE @KeNHAKenya @RapemoMourice Same thing happened on langata Rd outside kws. I refuse to acc… https://t.co/vpQkrEXdDw,Same thing happened langata Rd outside kws I refuse acc…,"Sentiment(polarity=0.0, subjectivity=0.0875)",0.0,0.0875,en,0,0,nairobilord,,,"Ma3Route, NPSOfficial_KE, KeNHAKenya, RapemoMourice",Nairobi,"[[36.6645733, -1.3890532], [37.0626672, -1.3890532], [37.0626672, -1.1606735], [36.6645733, -1.1606735]]"
1265568348135448578,Wed May 27 08:59:41 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Ma3Route: 11:56 One noble act. Spotted this tuk tuk fitted with a tap. Kongole kwake. #TumalizeKorona @NPSOfficial_KE  https://t.co/Qml…,:56 One noble act Spotted tuk tuk fitted tap Kongole kwake,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,en,0,2,Michael18341,,TumalizeKorona,"Ma3Route, NPSOfficial_KE",Nairobi,
1265567084546797570,Wed May 27 08:54:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@agutu_KE @Ma3Route @kot @WinWithStrategy 1. Innovation and Entrepreneurship by Peter Drucker
2. Go to 1

All the o… https://t.co/MkZSENLz7Y",Innovation Entrepreneurship Peter Drucker Go All o…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,1,coachyawe,,,"agutu_KE, Ma3Route, kot, WinWithStrategy",Nairobi,
1265564976779071489,Wed May 27 08:46:18 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",One noble act. Spotted this tuk tuk fitted with a tap. Kongole kwake. #TumalizeKorona @Ma3Route @NPSOfficial_KE https://t.co/qV7NYhD42T,One noble act Spotted tuk tuk fitted tap Kongole kwake,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,en,1,1,Michael18341,False,TumalizeKorona,"Ma3Route, NPSOfficial_KE",Nairobi,
1265563490841956355,Wed May 27 08:40:23 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Ma3Route @Enokoh The cars collided head on not coalition,The cars collided head coalition,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Jim_Namu,,,"Ma3Route, Enokoh",Nairobi,
1265562221402259456,Wed May 27 08:35:21 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Why did China Wu Yi leave waiyaki Way in such an awful state? @KeNHAKenya @JamesMacharia_ via @bobwaithaka #KenyanTraffic,Why China Wu Yi leave waiyaki Way awful state via,"Sentiment(polarity=-1.0, subjectivity=1.0)",-1.0,1.0,en,6,1,KenyanTraffic,,KenyanTraffic,"KeNHAKenya, JamesMacharia_, bobwaithaka",Nairobi,
1265561794732490755,Wed May 27 08:33:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Head on coalition at Kangundo road
Guys injured.. Avoid route @Ma3Route https://t.co/HT194YJLBb",Head coalition Kangundo road Guys injured .. Avoid route,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Enokoh,False,,Ma3Route,Nairobi,
1265561659965411328,Wed May 27 08:33:07 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","If one is found guilty they are subject to a 10 year imprisonment, a fine not exceeding Sh1 million or both

Uasin… https://t.co/mVBWfKiYsz",If one found guilty subject year imprisonment fine exceeding Sh1 million Uasin…,"Sentiment(polarity=-0.08333333333333331, subjectivity=0.611111111111111)",-0.08333333333333331,0.611111111111111,en,3,2,KenyanTraffic,False,,,Nairobi,
1265561451407777795,Wed May 27 08:32:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Wangari mathai and Limuru rd round about traffic nairobi Kenya 🇰🇪 Africa     @ntsa_kenya @loddca… https://t.co/efop2AfxOm,Wangari mathai Limuru rd round traffic nairobi Kenya 🇰🇪 Africa …,"Sentiment(polarity=-0.2, subjectivity=0.4)",-0.2,0.4,en,3,0,KenyanTraffic,False,,"ntsa_kenya, loddca",Nairobi,
1265561353646989312,Wed May 27 08:31:54 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seems these ""curfew hours"" accidents are on the rise in the past few weeks. via @indegwa #KenyanTraffic",Seems `` curfew hours '' accidents rise past weeks via,"Sentiment(polarity=-0.25, subjectivity=0.25)",-0.25,0.25,en,2,1,KenyanTraffic,,KenyanTraffic,indegwa,Nairobi,
1265561103930712065,Wed May 27 08:30:54 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@KenyaPower @KenyaPower_Care kindly we haven't had electricity for the last 2hrs do something thank you. #KenyanTraffic ^L. A,kindly n't electricity last hrs something thank ^L A,"Sentiment(polarity=0.3, subjectivity=0.48333333333333334)",0.3,0.48333333333333334,en,0,0,KenyanTraffic,,KenyanTraffic,"KenyaPower, KenyaPower_Care",Nairobi,
1265560721070477312,Wed May 27 08:29:23 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@KaruriPk @NjoroMwas @Ma3Route @Namitidavid Paul your statement it's self is another criminological theory by schol… https://t.co/UnuV63blJY,Paul statement 's self another criminological theory schol…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,2,1,Jim_Namu,False,,"KaruriPk, NjoroMwas, Ma3Route, Namitidavid",Nairobi,
1265554367610003456,Wed May 27 08:04:08 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@shujaa_maumau @Ma3Route True,True,"Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65,en,0,0,Jose_pep1,,,"shujaa_maumau, Ma3Route",Nairobi,
1265554150491914242,Wed May 27 08:03:16 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@osdominic @Ma3Route He will probably move it to 9pm,He probably move pm,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,Jose_pep1,,,"osdominic, Ma3Route",Nairobi,
